corpus,chunk1,chunk2,chunk3,chunk4
képviselő,kép,vi,se,lő
tehettem,te,he,tt,em
testvéred,te,st,vér,ed
mutassam,mu,ta,ss,am
csapatban,csa,pa,tb,an
csalódott,csa,ló,do,tt
választottam,válasz,to,tt,am
életedet,él,et,ed,et
jutottam,ju,to,tt,am
helyettem,hel,ye,tt,em
hallgatom,ha,ll,ga,tom
rejtélyes,re,jt,él,yes
holttest,ho,lt,te,st
helyettes,hel,ye,tt,es
rendőrségre,rend,őrs,ég,re
azonnali,az,on,na,li
helyedben,hel,ye,db,en
valamiről,va,la,mi,ről
maradhatok,mar,ad,ha,tok
maradhatok,mar,ad,hat,ok
gondoskodom,gon,dos,ko,dom
gondoskodom,gond,os,ko,dom
abbahagyni,ab,ba,hagy,ni
viszontlátásra,viszont,lát,ás,ra
mindannyiunkat,mind,annyi,un,kat
családban,csa,lá,db,an
mutatott,mu,ta,to,tt
álljatok,ál,lj,at,ok
válaszokat,vá,las,zo,kat
baseball,ba,se,ba,ll
értetted,ér,te,tt,ed
családomat,csa,lá,dom,at
hallottuk,ha,ll,ott,uk
hallottuk,hal,lo,tt,uk
mindkettőt,mind,ke,tt,őt
segítségedre,segíts,ég,ed,re
kevesebbet,ke,vese,bb,et
ugyanazon,ugy,an,az,on
mindenért,min,de,né,rt
szeretnének,szer,et,né,nek
egyetemi,eg,ye,te,mi
láthatatlan,lá,that,at,lan
láthatatlan,lát,hat,at,lan
szeretettel,szer,et,et,tel
mondhatjuk,mond,ha,tj,uk
válaszolt,vá,las,zo,lt
valaminek,va,la,mi,nek
tulajdonosa,tulaj,do,no,sa
interjút,in,te,rj,út
birodalom,bi,ro,dal,om
birodalom,bi,rod,al,om
vesztettem,vesz,te,tt,em
allergiás,all,er,gi,ás
gondoljon,gon,do,lj,on
tudhatjuk,tud,ha,tj,uk
találjam,ta,lá,lj,am
változnak,vá,lt,oz,nak
jutottál,ju,to,tt,ál
tudomást,tu,do,má,st
barátommal,ba,rá,tom,mal
vállalom,vá,ll,al,om
ugyanabban,ugy,an,ab,ban
ugyanabban,ugy,ana,bb,an
iskolából,is,ko,lá,ból
férfiakat,fér,fi,ak,at
rengeteget,ren,get,eg,et
fogadott,fo,ga,do,tt
születésnapot,szül,et,és,napot
viselkedett,visel,ke,de,tt
ilyesmire,il,yes,mi,re
ilyesmire,ily,es,mi,re
világosan,vi,lá,go,san
következőt,köve,tk,ez,őt
sebastian,se,ba,st,ian
sebastian,seb,as,ti,an
holttestét,ho,ltt,es,tét
holttestét,hol,tt,es,tét
változni,vá,lt,oz,ni
riporter,ri,po,rt,er
ajánlott,aj,án,lo,tt
hétköznapi,hét,köz,na,pi
dollárért,do,ll,ár,ért
dollárért,dol,lá,ré,rt
interneten,int,er,ne,ten
interneten,int,er,net,en
keressen,ke,re,ss,en
barátomnak,ba,rá,tom,nak
jelenetet,jel,en,et,et
lassabban,la,ss,ab,ban
lassabban,las,sa,bb,an
hallgattam,hall,ga,tt,am
technológia,tech,no,ló,gia
barátság,ba,rá,ts,ág
hasonlóan,ha,son,ló,an
hasonlóan,has,on,ló,an
akármilyen,ak,ár,mily,en
köszönetet,kösz,ön,et,et
gondolkodj,gon,dol,ko,dj
kereskedelmi,keres,ke,del,mi
rendeltem,ren,de,lt,em
jelentenek,jel,en,te,nek
érintett,ér,in,te,tt
gondoltok,gon,do,lt,ok
társadalmi,tár,sa,dal,mi
társadalmi,társ,ad,al,mi
magadban,ma,ga,db,an
tanultál,ta,nu,lt,ál
eredetileg,ered,et,il,eg
állatokat,ál,la,to,kat
állatokat,ál,la,tok,at
állatokat,áll,at,ok,at
doktornő,do,kt,or,nő
ismerted,is,me,rt,ed
freemail.hu,free,mai,l.,hu
társadalom,tár,sa,dal,om
társadalom,társ,ad,al,om
biológiai,bio,ló,gi,ai
kerestél,ke,re,st,él
virágokat,vi,rá,go,kat
virágokat,vir,ág,ok,at
tehetted,te,he,tt,ed
szerettél,sze,re,tt,él
szeretted,sze,re,tt,ed
szórakozás,szó,rak,oz,ás
szórakozás,szór,ak,oz,ás
menekülni,me,nek,ül,ni
helyetted,hel,ye,tt,ed
érdekelte,ér,de,kel,te
főiskolára,fő,is,kol,ára
tartoznak,ta,rt,oz,nak
napokban,na,po,kb,an
kapcsolva,ka,pc,sol,va
ajánlatom,aj,án,la,tom
politika,po,li,ti,ka
látszott,lá,ts,zo,tt
csináltatok,csi,nál,ta,tok
csináltatok,csin,ál,ta,tok
igazgatója,igaz,ga,tó,ja
vámpírok,vá,mp,ír,ok
rendszeresen,rend,sze,re,sen
rendszeresen,rend,szer,es,en
haragudjon,ha,ragu,dj,on
haragudjon,hara,gu,dj,on
kapcsolatom,ka,pc,sol,atom
rendőrségen,rend,őrs,ég,en
fertőzés,fe,rt,őz,és
katherine,ka,the,ri,ne
katherine,kat,he,ri,ne
tudhattam,tud,ha,tt,am
zaklatott,zak,la,to,tt
állomáson,ál,lo,má,son
állomáson,ál,lo,más,on
állomáson,áll,om,ás,on
kövessen,kö,ve,ss,en
pontosabban,pont,os,ab,ban
alkoholista,al,ko,ho,lista
egyikőtök,eg,yi,kő,tök
olyanokat,oly,an,ok,at
halottnak,ha,lo,tt,nak
hajléktalan,haj,lé,kt,alan
garantálom,ga,ran,tál,om
parkolóban,par,ko,ló,ban
pillanatig,pil,la,nat,ig
pillanatig,pil,lan,at,ig
határozott,ha,tár,oz,ott
határozott,hat,ár,oz,ott
mindenfelé,min,den,fe,lé
mindenfelé,mind,en,fe,lé
telefonálok,tele,fo,nál,ok
jelentkezem,jelen,tk,ez,em
paranoiás,pa,ran,oi,ás
paranoiás,par,an,oi,ás
bocsássanak,bocs,ás,sa,nak
bocsássanak,bocs,ás,san,ak
bocsássanak,bocs,áss,an,ak
tetejére,te,te,jé,re
születésnapja,szül,et,és,napja
ugyanazok,ugy,an,az,ok
raktárban,ra,kt,ár,ban
kétségtelenül,kétség,tel,en,ül
rendőrségtől,rend,őrs,ég,től
hangulatban,han,gul,at,ban
lényegtelen,lény,eg,tel,en
házasságot,háza,ss,ág,ot
balesetet,bal,es,et,et
vallásos,va,ll,ás,os
hallottak,ha,ll,ot,tak
hallottak,ha,ll,ott,ak
hallottak,hal,lo,tt,ak
hangosabban,hang,os,ab,ban
jutottak,ju,to,tt,ak
tartanom,ta,rt,an,om
erőszakot,er,ős,zak,ot
erőszakot,er,ősz,ak,ot
istenért,is,te,né,rt
másolatot,má,sol,at,ot
történetesen,történ,et,es,en
halálának,ha,lá,lá,nak
halálának,hal,ál,án,ak
magatokra,ma,ga,tok,ra
magatokra,mag,at,ok,ra
halottkém,ha,lo,tt,kém
sivatagban,si,va,tag,ban
észrevette,ész,re,vet,te
gyerekkoromban,gyerek,ko,rom,ban
gyerekkoromban,gyerek,kor,om,ban
teherautó,te,her,au,tó
államokban,ál,lam,ok,ban
államokban,áll,am,ok,ban
államokban,álla,mo,kb,an
láthatóan,lát,ha,tó,an
barátokat,ba,rá,to,kat
barátokat,ba,rá,tok,at
tehetség,te,he,ts,ég
tartozott,ta,rt,oz,ott
alkoholt,al,ko,ho,lt
tartottak,ta,rt,ot,tak
tartottak,ta,rt,ott,ak
halkabban,hal,ka,bb,an
mehetett,me,he,te,tt
induljon,in,du,lj,on
forradalom,for,ra,dal,om
forradalom,forr,ad,al,om
normálisan,norm,ál,is,an
készenlétben,készen,lé,tb,en
alexander,al,ex,an,der
alexander,al,ex,and,er
pszichológiai,pszicho,ló,gi,ai
észrevetted,ész,re,vet,ted
észrevetted,ész,re,vett,ed
észrevetted,észre,ve,tt,ed
jelentkezzen,jelen,tk,ez,zen
erősebben,erő,se,bb,en
imádnivaló,imád,ni,va,ló
hallanak,ha,ll,an,ak
hallgatott,hall,ga,to,tt
barátodat,ba,rá,tod,at
műveltél,mű,ve,lt,él
sikeresen,si,ke,re,sen
sikeresen,sik,er,es,en
szellemet,sze,ll,em,et
fiatalon,fi,at,al,on
helyrehozni,hely,re,hoz,ni
juttatni,ju,tt,at,ni
sorozatgyilkos,so,roz,at,gyilkos
sorozatgyilkos,sor,oz,at,gyilkos
ugyanilyen,ugy,an,il,yen
ugyanilyen,ugy,an,ily,en
rendőröket,rend,őr,ök,et
halállal,ha,lá,ll,al
valahonnan,val,ah,onn,an
szívesebben,szíve,se,bb,en
vallanom,va,ll,an,om
személyiség,sze,mély,is,ég
indultam,in,du,lt,am
találtatok,tal,ál,ta,tok
mindennapi,min,den,na,pi
mindennapi,mind,en,na,pi
történteket,tört,én,te,ket
láthatjuk,lát,ha,tj,uk
telefonálni,tele,fo,nál,ni
kétségbeesett,ké,ts,égbe,esett
testvéreim,te,st,vére,im
szertartás,sze,rt,art,ás
szertartás,szer,ta,rt,ás
sullivan,su,ll,iv,an
digitális,di,gi,tál,is
vitatkozni,vita,tk,oz,ni
szeretetet,szer,et,et,et
kalifornia,ka,li,for,nia
kalifornia,kal,if,or,nia
vesztettél,vesz,te,tt,él
barátaimmal,barát,ai,mm,al
követtél,kö,ve,tt,él
vállalni,vá,ll,al,ni
választottad,válasz,to,tt,ad
erőszakkal,er,ős,zak,kal
erőszakkal,er,ősz,ak,kal
washingtonban,wa,shing,ton,ban
washingtonban,wash,ing,ton,ban
automata,au,to,ma,ta
haláláért,ha,lá,lá,ért
pillanatok,pi,ll,ana,tok
pillanatok,pil,la,na,tok
pillanatok,pil,la,nat,ok
pillanatok,pil,lan,at,ok
forgatókönyv,for,ga,tó,könyv
ajánlani,aj,án,la,ni
hónapokig,hó,nap,ok,ig
családommal,csa,lá,dom,mal
mindenható,min,den,ha,tó
mindenható,mind,en,ha,tó
magasabbra,mag,asa,bb,ra
magasabbra,maga,sa,bb,ra
vallomása,val,lo,má,sa
halloween,hal,lo,we,en
sarokban,sa,ro,kb,an
főiskolán,fő,is,kol,án
franciaországban,fran,cia,ország,ban
parancsára,pa,ran,csá,ra
parancsára,par,an,csá,ra
kapcsolni,ka,pc,sol,ni
találjon,ta,lá,lj,on
pokolian,po,ko,li,an
korodban,ko,ro,db,an
utasításokat,utasít,ás,ok,at
feszültség,fe,szül,ts,ég
futottam,fu,to,tt,am
nadrágot,na,dr,ág,ot
jelentene,jel,en,te,ne
kamerákat,ka,me,rá,kat
kamerákat,ka,me,rák,at
működjön,mű,kö,dj,ön
ismerősnek,is,mer,ős,nek
mindegyiket,mind,eg,yi,ket
lássalak,lá,ss,al,ak
karrierem,kar,ri,er,em
készüljenek,ké,szül,je,nek
készüljenek,kész,ül,je,nek
tárgyaláson,tárgy,al,ás,on
emlékeket,em,lé,ke,ket
érdekelni,ér,de,kel,ni
tolvajok,to,lv,aj,ok
kérdésemre,kérd,és,em,re
kaliforniai,kali,for,ni,ai
munkahelyi,mun,ka,hel,yi
választottál,válasz,to,tt,ál
hallgatok,ha,ll,ga,tok
barátaival,ba,rá,tai,val
barátait,ba,rá,ta,it
egyenruhát,eg,yen,ru,hát
egyenruhát,egy,en,ru,hát
hegyekben,heg,ye,kb,en
hibázott,hi,bá,zo,tt
földalatti,föl,dal,at,ti
földalatti,föld,al,at,ti
állomásra,ál,lo,más,ra
állomásra,áll,om,ás,ra
életemből,él,et,em,ből
jelentkeztem,jelen,tk,ezt,em
szóljatok,szó,lj,at,ok
igazságszolgáltatás,igazság,szolgált,at,ás
melletti,me,ll,et,ti
hullámok,hu,ll,ám,ok
halhatatlan,hal,hat,at,lan
egyenruha,eg,yen,ru,ha
egyenruha,egy,en,ru,ha
indiánok,in,di,án,ok
változtál,vá,lt,oz,tál
hadsereget,had,se,re,get
hadsereget,had,se,reg,et
hadsereget,had,ser,eg,et
rejteget,re,jt,eg,et
dolgokban,dol,go,kb,an
mutattam,mu,ta,tt,am
mindenkorra,min,den,kor,ra
mindenkorra,mind,en,kor,ra
hamilton,ha,mi,lt,on
férfiakkal,fér,fi,ak,kal
szívrohamot,szív,ro,ham,ot
érdekedben,ér,deke,db,en
mondhattam,mond,ha,tt,am
munkanélküli,mun,ka,nél,küli
munkanélküli,mun,kan,él,küli
gondoskodj,gon,dos,ko,dj
gondoskodj,gond,os,ko,dj
juliette,ju,li,et,te
bocsátani,bo,csá,ta,ni
pillanata,pi,ll,ana,ta
pillanata,pil,la,na,ta
helyénvaló,hely,én,va,ló
valahogyan,va,la,hog,yan
valahogyan,va,la,hogy,an
társaságot,tár,sas,ág,ot
társaságot,társ,as,ág,ot
darabban,da,ra,bb,an
kapitánya,ka,pi,tán,ya
kapitánya,kap,it,án,ya
születésnapi,szül,et,és,napi
férfiaknak,fér,fi,ak,nak
nappaliban,nap,pa,li,ban
foglalkozott,foglal,ko,zo,tt
siessenek,si,es,se,nek
tengerparton,tenger,pa,rt,on
látogatóba,lá,to,ga,tóba
olyasvalaki,oly,as,val,aki
érdekelné,ér,de,kel,né
életemnek,él,et,em,nek
emlékére,em,lé,ké,re
mindkettőtöket,mind,kettő,tök,et
mindkettőtöket,mind,kettőt,ök,et
unokatestvérem,un,oka,test,vérem
unokatestvérem,un,oka,testvér,em
unokatestvérem,uno,ka,test,vérem
unokatestvérem,uno,ka,testvér,em
unokatestvérem,uno,kat,est,vérem
unokatestvérem,uno,kate,st,vérem
unokatestvérem,unoka,te,st,vérem
unokatestvérem,unoka,test,vér,em
hagyhattam,hagy,ha,tt,am
köztársaság,köz,tár,sas,ág
köztársaság,köz,társ,as,ág
köztársaság,közt,ár,sas,ág
szálljatok,szál,lj,at,ok
barátoddal,ba,rá,tod,dal
barátoddal,ba,rá,todd,al
erőteljes,erő,te,lj,es
vallomás,va,ll,om,ás
főiskola,fő,is,ko,la
szülinapja,szül,in,ap,ja
telefonáltam,tele,fo,nál,tam
főiskolai,fő,is,kol,ai
tönkretetted,tönkre,te,tt,ed
semmirekellő,sem,mi,re,kellő
semmirekellő,sem,mire,kel,lő
semmirekellő,semmi,re,kel,lő
bocsánatkérés,bo,csá,nat,kérés
bocsánatkérés,bocs,án,at,kérés
rendőröknek,rend,őr,ök,nek
egyenlőre,eg,yen,lő,re
egyenlőre,egy,en,lő,re
létrehozni,lét,re,hoz,ni
javasolta,ja,va,sol,ta
forgatókönyvet,for,ga,tó,könyvet
ártatlanok,árt,at,lan,ok
őrültségnek,őr,ül,ts,égnek
középiskola,közép,is,ko,la
vállalja,vá,ll,al,ja
halálosan,ha,lá,lo,san
halálosan,ha,lá,los,an
halálosan,hal,ál,os,an
alacsonyabb,al,ac,sonya,bb
hálaadás,há,la,ad,ás
holnapután,hol,na,put,án
csapattal,csa,pa,tt,al
használhatatlan,használ,hat,at,lan
választottak,válasz,to,tt,ak
barátodnak,ba,rá,tod,nak
barátnőjével,barát,nő,jé,vel
bocsássatok,bocs,ás,sa,tok
bocsássatok,bocs,áss,at,ok
szabadlábra,szab,ad,láb,ra
érdekesnek,ér,de,kes,nek
mindenhová,min,den,ho,vá
mindenhová,mind,en,ho,vá
alakultak,al,aku,lt,ak
bocsánatkéréssel,bo,csá,nat,kéréssel
bocsánatkéréssel,bocs,án,at,kéréssel
vasárnapi,va,sár,na,pi
vasárnapi,vas,ár,na,pi
mindkettőtöknek,mind,kettő,tök,nek
mindkettőtöknek,mind,kettőt,ök,nek
egyiptomi,eg,yip,to,mi
egyiptomi,egy,ip,to,mi
kötelesség,kö,tel,ess,ég
kötelesség,kö,tele,ss,ég
valószínüleg,való,szín,ül,eg
családomnak,csa,lá,dom,nak
internetes,int,er,net,es
teremtett,te,rem,te,tt
tanultad,ta,nu,lt,ad
gyerekeimet,gyere,ke,im,et
hallottalak,ha,ll,ott,alak
hallottalak,hal,lo,tt,alak
hallottalak,hall,ot,tal,ak
hallottalak,hall,ott,al,ak
hallottalak,hallo,tt,al,ak
pillanattól,pi,ll,an,attól
pillanattól,pil,la,nat,tól
pillanattól,pil,lan,at,tól
bűntudatot,bűn,tud,at,ot
nevetett,ne,ve,te,tt
semmiképpen,sem,mi,kép,pen
semmiképpen,sem,mik,ép,pen
semmiképpen,sem,mik,épp,en
mindenáron,min,den,ár,on
mindenáron,mind,en,ár,on
partnerem,pa,rt,ne,rem
hozzáállás,hozz,áá,ll,ás
hadművelet,had,mű,vel,et
államügyész,ál,lam,ügy,ész
államügyész,áll,am,ügy,ész
maximális,max,im,ál,is
sikerülne,sik,er,ül,ne
temetésre,te,met,és,re
kollégám,ko,ll,ég,ám
halálához,ha,lá,lá,hoz
halálához,hal,ál,áh,oz
dollárba,do,ll,ár,ba
mosolygott,mos,oly,go,tt
csináljanak,csi,nál,ja,nak
csináljanak,csi,nál,jan,ak
csináljanak,csin,ál,ja,nak
csináljanak,csin,ál,jan,ak
ilyesmiről,il,yes,mi,ről
ilyesmiről,ily,es,mi,ről
washingtonba,wa,shing,to,nba
washingtonba,wa,shing,ton,ba
washingtonba,wash,ing,to,nba
washingtonba,wash,ing,ton,ba
titkokat,ti,tk,ok,at
haláláról,ha,lá,lá,ról
halálával,ha,lá,lá,val
házasságban,háza,ss,ág,ban
csináljatok,csi,nál,ja,tok
csináljatok,csin,ál,ja,tok
segítségemre,segíts,ég,em,re
szabadlábon,szab,ad,lá,bon
szabadlábon,szab,ad,láb,on
szóljanak,szó,lj,an,ak
protokoll,pro,to,ko,ll
citromail.hu,citrom,ai,l.,hu
biztosító,biz,to,sí,tó
mindenhova,min,den,ho,va
mindenhova,mind,en,ho,va
csinálhatjuk,csinál,ha,tj,uk
gondolatok,gon,do,la,tok
gondolatok,gon,dol,at,ok
családoddal,csa,lá,dodd,al
gondoskodott,gondos,ko,do,tt
testvéremet,te,st,vére,met
testvéremet,te,st,vérem,et
testvéremet,test,vér,em,et
mindazonáltal,mind,az,on,által
mindazonáltal,mind,azon,ál,tal
mindazonáltal,mindaz,on,ál,tal
alkalomra,al,kal,om,ra
jelentené,jel,en,te,né
eseményeket,esem,én,ye,ket
feszültséget,fe,szül,ts,éget
mesterlövész,me,st,er,lövész
sorozatot,so,roz,at,ot
sorozatot,sor,oz,at,ot
emlékeztetni,emlék,ezt,et,ni
bizonyult,bi,zo,nyu,lt
bizonyult,biz,on,yu,lt
számotokra,szám,ot,ok,ra
tetoválás,te,tov,ál,ás
határokat,ha,tár,ok,at
határokat,hat,ár,ok,at
középiskolás,közép,is,kol,ás
mutassuk,mu,ta,ss,uk
államokba,ál,lam,ok,ba
államokba,áll,am,ok,ba
kapcsolatunkat,kapcsol,at,un,kat
lássanak,lá,ss,an,ak
streeten,st,re,et,en
érdemlem,ér,de,ml,em
mutassak,mu,ta,ss,ak
németországban,né,met,ország,ban
ilyesmivel,il,yes,mi,vel
ilyesmivel,ily,es,mi,vel
desszertet,des,sze,rt,et
tárgyalásra,tárgy,al,ás,ra
szellemeket,sze,ll,eme,ket
jelenléte,jel,en,lé,te
karakter,ka,ra,kt,er
talállak,ta,lá,ll,ak
partnere,pa,rt,ne,re
tehetett,te,he,te,tt
minimális,mi,nim,ál,is
minimális,min,im,ál,is
képviseli,kép,vi,se,li
láttatok,lá,tt,at,ok
unokatestvére,un,oka,test,vére
unokatestvére,uno,ka,test,vére
unokatestvére,uno,kat,est,vére
unokatestvére,uno,kate,st,vére
unokatestvére,unoka,te,st,vére
raktárba,ra,kt,ár,ba
semleges,se,ml,eg,es
emlékeim,em,lé,ke,im
vártalak,vá,rt,al,ak
másikban,má,si,kb,an
anyukádnak,an,yu,kád,nak
életemmel,él,et,em,mel
folytathatjuk,folytat,ha,tj,uk
birodalmi,bi,ro,dal,mi
birodalmi,bi,rod,al,mi
vállalok,vá,ll,al,ok
kétségbeesetten,kétségbe,es,et,ten
házunkban,ház,un,kb,an
őrültséget,őr,ül,ts,éget
hangulatot,han,gul,at,ot
fogadhatom,fog,ad,ha,tom
fogadhatom,fog,ad,hat,om
használhatjuk,használ,ha,tj,uk
vállalta,vá,ll,al,ta
