corpus,chunk1,chunk2,chunk3,score,joke
egyenesen,egyen,es,en,,
hallottad,hall,ot,tad,,
hallottad,hall,ott,ad,,
hallottad,hallo,tt,ad,,
maradok,ma,ra,dok,,
maradok,mar,ad,ok,,
életed,él,et,ed,,
baleset,bal,es,et,,
mostantól,mo,stan,tól,,
mostantól,mos,tan,tól,,
mostantól,most,an,tól,2,
nyugalom,nyu,gal,om,,
hónapja,hó,nap,ja,,
dollárt,do,ll,árt,,
dollárt,dol,lá,rt,,
magunkat,ma,gun,kat,,
magunkat,mag,un,kat,,
akartál,ak,art,ál,,
akartál,aka,rt,ál,,
barátod,ba,rá,tod,2,
haragudj,ha,ragu,dj,,
haragudj,hara,gu,dj,,
történet,tört,én,et,,
világot,vi,lá,got,,
bármilyen,bár,mily,en,2,
magadra,mag,ad,ra,,
ártatlan,árt,at,lan,,
hasonló,ha,son,ló,,
hasonló,has,on,ló,,
rájöttem,rá,jött,em,2,
úristen,úr,is,ten,,
úristen,úr,ist,en,,
úristen,úri,st,en,,
valakivel,val,aki,vel,3,val aki vel
valamilyen,va,la,milyen,,
valamilyen,va,lam,ilyen,,
valamilyen,val,am,ilyen,2,
valamilyen,vala,mily,en,,
miattad,mi,at,tad,,
miattad,mia,tt,ad,,
csinálom,csi,nál,om,,
csinálom,csin,ál,om,,
semmilyen,se,mm,ilyen,2,
semmilyen,sem,mily,en,2,
mondjak,mon,dj,ak,,
bármikor,bár,mi,kor,3,bár mi kor
bármikor,bár,mik,or,,
ezredes,ez,re,des,,
ezredes,ez,red,es,,
álljon,ál,lj,on,,
tartja,ta,rt,ja,,
tartott,ta,rt,ott,,
nyugodj,nyu,go,dj,,
csinálta,csi,nál,ta,,
csinálta,csin,ál,ta,,
bocsáss,bo,csá,ss,,
miatta,mi,at,ta,,
tetted,te,tt,ed,,
akarjuk,aka,rj,uk,,
vártam,vá,rt,am,,
mester,me,st,er,,
szívességet,szív,ess,éget,,
szívességet,szíve,ss,éget,,
helyett,hel,ye,tt,,
családi,csa,lá,di,,
kértem,ké,rt,em,,
miattam,mi,at,tam,,
miattam,mia,tt,am,,
dehogynem,de,hogy,nem,3,de hogy nem
találtak,tal,ál,tak,,
kórházba,kór,ház,ba,2,
végeztem,vég,ezt,em,,
férfiak,fér,fi,ak,,
halála,ha,lá,la,,
kórházban,kór,ház,ban,2,
testvér,te,st,vér,,
egyszerre,egy,szer,re,2,
ostoba,os,to,ba,,
alkalom,al,kal,om,,
tartom,ta,rt,om,,
ezúttal,ez,út,tal,,
segítséget,segíts,ég,et,,
istennek,is,ten,nek,2,
istennek,ist,en,nek,2,
nemsokára,nem,sok,ára,3,nem sok ára
nemsokára,nem,soká,ra,2,
sohasem,so,ha,sem,2,
sohasem,so,has,em,,
amilyen,am,il,yen,,
amilyen,am,ily,en,,
önöket,ön,ök,et,,
gyorsabban,gyors,ab,ban,2,
csináltad,csi,nál,tad,,
csináltad,csin,ál,tad,,
bajban,ba,jb,an,,
láttalak,lá,tt,alak,,
láttalak,lát,tal,ak,,
mindenhol,min,den,hol,,
mindenhol,mind,en,hol,3,mind en hol
szabadon,szab,ad,on,,
személyesen,személy,es,en,2,
iskola,is,ko,la,,
érezni,ér,ez,ni,,
várjatok,vár,ja,tok,,
várjatok,várj,at,ok,,
igazgató,igaz,ga,tó,,
kevesebb,ke,vese,bb,,
egymással,egy,más,sal,2,
valamire,va,la,mire,,
valamire,val,ami,re,3,val ami re
valamire,vala,mi,re,2,
kapcsolatot,kapcsol,at,ot,,
családom,csa,lá,dom,,
mondanám,mon,dan,ám,,
mondanám,mond,an,ám,2,
érkezett,ér,keze,tt,,
láttál,lá,tt,ál,,
iskolába,is,ko,lába,,
csinálnak,csi,nál,nak,2,
csinálnak,csin,ál,nak,,
magamnak,mag,am,nak,,
kapcsolatba,kapcsol,at,ba,,
gondolj,gon,do,lj,,
gyerekeket,gyere,ke,ket,,
pokolba,po,kol,ba,,
katona,ka,to,na,,
kellemes,kell,em,es,,
halálra,hal,ál,ra,,
olyanok,oly,an,ok,,
azonban,az,on,ban,3,az on ban
gondolta,gon,dol,ta,,
akartad,ak,art,ad,,
akartad,aka,rt,ad,,
tartsa,ta,rt,sa,,
jobbra,jo,bb,ra,,
akartok,ak,art,ok,,
akartok,aka,rt,ok,,
sikerül,sik,er,ül,,
találtál,tal,ál,tál,,
várost,vá,ro,st,,
történni,tört,én,ni,,
találom,tal,ál,om,,
katonai,ka,to,nai,,
katonai,ka,ton,ai,,
katonai,kat,on,ai,,
messzire,me,ss,zire,,
magadnak,mag,ad,nak,,
rendesen,ren,de,sen,,
rendesen,ren,des,en,,
rendesen,rend,es,en,,
szerezni,szer,ez,ni,,
ugyanazt,ugy,an,azt,,
rendőrséget,rend,őrs,éget,,
rendőrséget,rend,őrség,et,,
nemrég,ne,mr,ég,,
ismertem,is,mert,em,2,
szeretett,sze,re,tett,2,
gondolni,gon,dol,ni,,
keresem,ke,re,sem,2,
ugyanolyan,ugy,an,olyan,,
ugyanolyan,ugyan,oly,an,,
kocsiban,ko,csi,ban,,
lássam,lá,ss,am,,
bocsásson,bocs,ás,son,,
bocsásson,bocs,áss,on,,
magához,mag,áh,oz,,
életemet,élet,em,et,,
tökéletesen,tök,élete,sen,,
martin,ma,rt,in,,
őrület,őr,ül,et,,
ilyesmit,il,yes,mit,,
ilyesmit,ily,es,mit,,
menjenek,men,je,nek,,
walter,wa,lt,er,,
kérdeztem,kérd,ezt,em,,
igazam,ig,az,am,2,
szeretni,szer,et,ni,,
semmire,sem,mi,re,3,sem mi re
egyetértek,eg,ye,tértek,,
egyetértek,egy,et,értek,,
nyilvánvalóan,nyilván,való,an,2,
reméltem,rem,élt,em,,
találta,tal,ál,ta,,
esélye,es,él,ye,,
hallotta,hall,ot,ta,,
hallott,ha,ll,ott,2,
hallott,hal,lo,tt,,
mindenre,min,den,re,,
mindenre,mind,en,re,3,mind en re
hónapban,hó,nap,ban,2,
titokban,ti,tok,ban,2,
titokban,tito,kb,an,,
ugyanúgy,ugy,an,úgy,,
tulajdonképpen,tulaj,don,képpen,,
tulajdonképpen,tulajdon,kép,pen,,
halálos,ha,lá,los,,
halálos,hal,ál,os,,
folyamatosan,folyamat,os,an,,
képtelen,kép,tel,en,2,
hallottál,hall,ot,tál,,
hallottál,hall,ott,ál,,
hallottál,hallo,tt,ál,,
akartalak,ak,art,alak,,
akartalak,aka,rt,alak,,
akartalak,akar,tal,ak,,
akartalak,akart,al,ak,,
másikat,má,si,kat,,
másikat,má,sik,at,,
testvérem,te,st,vérem,,
testvérem,test,vér,em,,
szellem,sze,ll,em,,
ismert,is,me,rt,,
nyilvánvaló,nyilván,va,ló,,
hamarabb,ha,mara,bb,,
hamarabb,ham,ara,bb,,
tartozom,tart,oz,om,,
unalmas,un,al,mas,,
egyelőre,egye,lő,re,,
keresi,ke,re,si,,
amennyire,am,ennyi,re,2,
azoknak,az,ok,nak,2,
fogadok,fo,ga,dok,,
fogadok,fog,ad,ok,,
segítségre,segíts,ég,re,,
ugyanezt,ugy,an,ezt,,
sehova,se,ho,va,,
vetted,ve,tt,ed,,
látjuk,lá,tj,uk,,
ilyenkor,il,yen,kor,,
ilyenkor,ily,en,kor,2,
kamera,ka,me,ra,,
kettőt,ke,tt,őt,,
maguknak,mag,uk,nak,,
kérdezni,kérd,ez,ni,,
változott,vált,oz,ott,2,
erősen,er,ős,en,,
városba,vár,os,ba,2,
romantikus,rom,antik,us,,
szánalmas,szán,al,mas,,
magaddal,mag,ad,dal,,
magaddal,mag,add,al,,
egyesült,eg,ye,sült,,
egyesült,eg,yes,ült,,
egyesült,egy,es,ült,,
hibája,hi,bá,ja,,
gondoltál,gon,dol,tál,,
akárcsak,ak,ár,csak,,
mellettem,me,ll,ettem,,
mellettem,melle,tt,em,,
követni,kö,vet,ni,,
mondhatom,mond,ha,tom,3,mond ha tom
mondhatom,mond,hat,om,2,
magamat,mag,am,at,,
valamikor,va,la,mikor,,
valamikor,val,ami,kor,3,val ami kor
valamikor,val,amik,or,2,
valamikor,vala,mi,kor,2,
valamikor,vala,mik,or,,
olyasmi,oly,as,mi,,
barátnője,barát,nő,je,,
szerette,szer,et,te,,
akkora,ak,ko,ra,,
mindennek,min,den,nek,,
mindennek,mind,en,nek,3,mind en nek
anyukád,an,yu,kád,,
borzalmas,borz,al,mas,,
csináltok,csi,nál,tok,,
csináltok,csin,ál,tok,,
szóljon,szó,lj,on,2,
egymásnak,egy,más,nak,3,egy más nak
állapotban,ál,lapot,ban,,
mondanak,mon,da,nak,,
mondanak,mon,dan,ak,,
mondanak,mond,an,ak,,
fájdalom,fáj,dal,om,2,
állást,ál,lá,st,,
hivatalosan,hivatal,os,an,,
ismerte,is,mer,te,2,
helyesen,hel,ye,sen,,
helyesen,hel,yes,en,,
helyesen,hely,es,en,2,
valamiféle,va,la,miféle,,
valamiféle,val,ami,féle,3,val ami féle
valamiféle,vala,mi,féle,2,
magamra,mag,am,ra,,
amerika,ame,ri,ka,,
hétvégén,hét,vég,én,2,
láttuk,lá,tt,uk,,
amennyit,am,en,nyit,,
william,wil,li,am,,
házasság,háza,ss,ág,,
errefelé,erre,fe,lé,,
találok,tal,ál,ok,,
tartanak,tart,an,ak,,
fogalmad,fo,gal,mad,,
fogalmad,fog,al,mad,,
hadsereg,had,se,reg,,
hadsereg,had,ser,eg,,
magammal,mag,am,mal,,
magammal,maga,mm,al,,
apámat,ap,ám,at,,
mellette,me,ll,ette,,
mellette,mell,et,te,,
telefonon,tele,fo,non,,
hónappal,hó,nap,pal,,
mozdulj,moz,du,lj,,
kérdésem,kérd,és,em,,
nehezen,ne,he,zen,,
nehezen,ne,hez,en,2,
hatással,hat,ás,sal,,
hatással,hat,áss,al,,
épület,ép,ül,et,,
erősebb,erő,se,bb,,
vasárnap,va,sár,nap,2,
vasárnap,vas,ár,nap,2,
rendőrök,rend,őr,ök,,
egymáshoz,egy,más,hoz,3,egy más hoz
tudjam,tu,dj,am,,
azokkal,az,ok,kal,,
fordulj,for,du,lj,,
nővérem,nő,vér,em,,
történetet,tört,én,etet,,
történetet,történ,et,et,,
kocsiba,ko,csi,ba,,
valamelyik,va,la,melyik,,
sikeres,sik,er,es,,
határozottan,határoz,ot,tan,,
határozottan,határoz,ott,an,,
okozta,ok,oz,ta,,
barátai,ba,rá,tai,2,
választásom,választ,ás,om,,
százados,száz,ad,os,,
idősebb,idő,se,bb,2,
halottak,hal,ot,tak,,
halottak,hal,ott,ak,,
halottak,halo,tt,ak,,
melletted,me,ll,etted,,
melletted,mell,et,ted,,
melletted,melle,tt,ed,,
életre,él,et,re,,
találja,tal,ál,ja,,
szörnyeteg,szörny,et,eg,,
akartak,ak,art,ak,,
akartak,aka,rt,ak,,
valahova,va,la,hova,,
valahova,vala,ho,va,,
ismerős,is,mer,ős,,
családot,csa,lá,dot,,
működni,mű,köd,ni,,
istenit,is,ten,it,,
istenit,ist,en,it,,
voltatok,volt,at,ok,,
emlékezni,emlék,ez,ni,,
háborút,há,bo,rút,,
háborút,há,bor,út,,
hitted,hi,tt,ed,,
mással,má,ss,al,,
érdemes,érd,em,es,,
gondolt,gon,do,lt,,
isteni,is,te,ni,2,
sikert,si,ke,rt,,
tanácsot,tan,ács,ot,,
említette,említ,et,te,,
követtem,kö,vett,em,,
követtem,köve,tt,em,,
tolvaj,to,lv,aj,,
csapatot,csa,pat,ot,,
csapatot,csap,at,ot,,
holtan,ho,lt,an,,
hiányozni,hiány,oz,ni,,
fiamat,fi,am,at,,
évesen,év,es,en,,
darabig,da,ra,big,,
darabig,da,rab,ig,,
darabig,dar,ab,ig,,
fogadni,fog,ad,ni,,
tartottam,tart,ot,tam,,
tartottam,tart,ott,am,2,
számítottam,számít,ot,tam,,
számítottam,számít,ott,am,2,
erőszak,er,ős,zak,,
erőszak,er,ősz,ak,,
sehová,se,ho,vá,,
ilyenek,il,ye,nek,,
mindenféle,min,den,féle,,
mindenféle,mind,en,féle,3,mind en féle
valószínű,va,ló,színű,,
szeretet,szer,et,et,,
akkoriban,ak,kori,ban,,
lányokat,lány,ok,at,,
stimmel,st,im,mel,,
állami,ál,la,mi,,
magatokat,maga,to,kat,,
magatokat,maga,tok,at,,
egyfajta,egy,faj,ta,,
lopott,lo,po,tt,,
erőszakos,erős,zak,os,,
nyugodjon,nyu,god,jon,,
végezni,vég,ez,ni,,
követett,kö,ve,tett,,
követett,köve,te,tt,,
ahonnan,ah,onn,an,,
kettes,ke,tt,es,,
okozott,ok,oz,ott,,
keress,ke,re,ss,,
alaposan,al,ap,osan,,
alaposan,alap,os,an,,
állatok,ál,la,tok,,
állatok,áll,at,ok,,
halált,ha,lá,lt,,
néhányan,né,hány,an,,
szabályokat,szabály,ok,at,,
egyike,eg,yi,ke,,
várjanak,vár,ja,nak,2,
várjanak,vár,jan,ak,,
várjanak,várj,an,ak,,
gondoltad,gon,dol,tad,,
suliban,su,li,ban,,
hallok,ha,ll,ok,,
valamint,va,la,mint,,
valamint,va,lam,int,,
valamint,val,am,int,,
mostanra,mo,stan,ra,,
mostanra,mos,tan,ra,,
mostanra,most,an,ra,2,
szóltam,szó,lt,am,,
szándékosan,szándék,os,an,,
halálát,ha,lá,lát,,
teheted,te,he,ted,,
kelljen,ke,ll,jen,,
kelljen,kel,lj,en,,
mondhatok,mond,ha,tok,2,
mondhatok,mond,hat,ok,2,
testet,te,st,et,,
érezte,ér,ez,te,,
történhetett,történ,he,tett,,
történhetett,történ,hete,tt,,
jobbat,jo,bb,at,,
energia,en,er,gia,,
valamiben,va,la,miben,,
magánál,mag,án,ál,,
napján,na,pj,án,,
mondjon,mon,dj,on,,
anyámat,any,ám,at,,
dehogyis,de,hogy,is,3,de hogy is
mindenesetre,min,den,esetre,,
mindenesetre,mind,en,esetre,2,
mindenesetre,minden,eset,re,2,
mindenesetre,mindene,set,re,,
mindenesetre,mindenes,et,re,,
helyette,hely,et,te,2,
szálljon,szál,lj,on,,
fogalma,fo,gal,ma,,
fogalma,fog,al,ma,,
parkban,par,kb,an,,
folytassa,folyt,as,sa,,
hónapig,hó,nap,ig,2,
hallja,ha,ll,ja,,
államok,ál,lam,ok,,
államok,áll,am,ok,,
városi,vá,ro,si,,
valahová,va,la,hová,,
valahová,vala,ho,vá,,
önöknek,ön,ök,nek,2,
menteni,men,te,ni,,
amanda,am,an,da,,
szereztem,szer,ezt,em,,
hiányoztál,hiány,oz,tál,,
valamivel,va,la,mivel,,
valamivel,val,ami,vel,3,val ami vel
valamivel,vala,mi,vel,2,
végeztél,vég,ez,tél,,
végeztél,vég,ezt,él,,
testvére,te,st,vére,,
anyukám,any,uk,ám,,
hagyhatom,hagy,ha,tom,2,
hagyhatom,hagy,hat,om,,
érteni,ér,te,ni,,
nyugati,nyu,ga,ti,,
helyszínen,hely,szín,en,2,
alkalmas,al,kal,mas,,
suliba,su,li,ba,,
bármire,bár,mi,re,3,bár mi re
naponta,nap,on,ta,2,
ugyanakkor,ugy,an,akkor,,
ugyanakkor,ugyan,ak,kor,2,
zseniális,zseni,ál,is,,
holnapra,hol,nap,ra,3,hol nap ra
mindenről,min,den,ről,,
mindenről,mind,en,ről,3,mind en ről
álltam,ál,lt,am,,
justin,ju,st,in,,
jelentsen,jelen,ts,en,2,
hajnali,haj,na,li,,
szerinte,sze,rin,te,,
szerinte,szer,in,te,,
küldetés,küld,et,és,,
vettél,ve,tt,él,,
victor,vi,ct,or,,
kérdésre,kérd,és,re,2,
rajtuk,ra,jt,uk,,
ajánlatot,ajánl,at,ot,,
hívtalak,hív,tal,ak,,
készítette,készít,et,te,,
szemétláda,szemét,lá,da,,
pompás,po,mp,ás,,
maradjatok,mar,adja,tok,,
maradjatok,marad,ja,tok,,
maradjatok,maradj,at,ok,,
maradjanak,mar,adja,nak,2,
maradjanak,marad,ja,nak,2,
maradjanak,marad,jan,ak,,
maradjanak,maradj,an,ak,,
fiatalember,fia,tal,ember,2,
fiatalember,fiat,al,ember,,
jeremy,je,re,my,,
emeleten,emel,et,en,,
nyomozás,nyom,oz,ás,,
rendszert,rend,sze,rt,,
években,éve,kb,en,2,
egyetemen,egye,te,men,,
egyetemen,egyet,em,en,2,
fordult,for,du,lt,,
indult,in,du,lt,,
látható,lát,ha,tó,,
várjuk,vá,rj,uk,,
szerezted,szer,ez,ted,,
szerezted,szer,ezt,ed,,
rendőrségi,rend,őrs,égi,,
segítened,segít,en,ed,2,
magadat,mag,ad,at,,
emlékeztet,emlék,ezt,et,,
kapcsolatos,kapcsol,at,os,,
szóltál,szó,lt,ál,,
ugyanis,ugy,an,is,,
keveset,ke,ve,set,,
keveset,kev,es,et,,
társaság,tár,sas,ág,,
társaság,társ,as,ág,,
házasok,ház,as,ok,,
tartotta,tart,ot,ta,,
hatalom,ha,tal,om,,
hatalom,hat,al,om,,
jelentett,jel,en,tett,2,
jelentett,jelen,te,tt,2,
egyetem,egy,et,em,,
magasabb,mag,asa,bb,,
magasabb,maga,sa,bb,,
ügyvédet,ügy,véd,et,,
csináltak,csi,nál,tak,,
csináltak,csin,ál,tak,,
szeretnek,szer,et,nek,,
valóra,va,ló,ra,,
változás,vált,oz,ás,,
maradnak,mar,ad,nak,,
hangosan,han,go,san,,
hangosan,hang,os,an,,
valakire,val,aki,re,3,val aki re
pilóta,pi,ló,ta,,
vámpír,vá,mp,ír,,
iskolai,is,kol,ai,,
gondolat,gon,dol,at,,
egymásra,egy,más,ra,3,egy más ra
istenek,is,te,nek,3,is te nek
tárgyalás,tárgy,al,ás,,
semmiféle,sem,mi,féle,3,sem mi féle
épületet,ép,ül,etet,,
épületet,épül,et,et,,
mostmár,mo,st,már,,
kapjuk,ka,pj,uk,,
egyetemre,egyet,em,re,2,
parton,pa,rt,on,,
tudhatod,tud,ha,tod,2,
pokolban,po,kol,ban,,
akárhogy,ak,ár,hogy,,
akármi,ak,ár,mi,,
lányomat,lá,nyom,at,,
lányomat,lány,om,at,,
indulj,in,du,lj,,
titkot,ti,tk,ot,,
szerezte,szer,ez,te,,
lépjen,lé,pj,en,,
általános,ál,talán,os,,
általános,által,án,os,,
emberiség,ember,is,ég,2,
itteni,it,te,ni,,
életedben,élete,db,en,2,
fogadja,fog,ad,ja,,
ameddig,am,edd,ig,,
maradtam,mar,ad,tam,,
anyagot,an,ya,got,,
robbanás,rob,ban,ás,,
észrevettem,ész,re,vettem,2,
észrevettem,észre,vett,em,2,
anyának,any,án,ak,,
valamiért,va,la,miért,,
valamiért,val,ami,ért,3,val ami ért
valamiért,vala,mi,ért,2,
férfival,fér,fi,val,,
fájdalmas,fáj,dal,mas,2,
szabadna,szab,ad,na,,
főnöke,fő,nö,ke,,
városból,vár,os,ból,,
történne,tört,én,ne,,
folytatni,folyt,at,ni,,
hiányzott,hiány,zo,tt,,
magukkal,mag,uk,kal,,
teheti,te,he,ti,2,
láttak,lá,tt,ak,,
kettesben,ket,te,sben,,
papírokat,pap,írok,at,,
papírokat,papír,ok,at,,
darabokra,da,rab,okra,,
darabokra,da,rabok,ra,,
darabokra,dar,ab,okra,,
darabokra,darab,ok,ra,2,
keresik,ke,re,sik,,
vállalat,váll,al,at,,
rendőrségnek,rend,őrs,égnek,,
rendőrségnek,rend,őrség,nek,,
uramisten,ur,am,isten,,
uramisten,uram,is,ten,,
uramisten,uram,ist,en,,
mindenképpen,min,den,képpen,,
mindenképpen,mind,en,képpen,2,
mindenképpen,minden,kép,pen,2,
segítsenek,segít,se,nek,3,segít se nek
kérdezte,kérd,ez,te,,
fiatalok,fia,tal,ok,,
fiatalok,fiat,al,ok,,
barátomat,barát,om,at,,
kérdezem,kérd,ez,em,,
mégegyszer,még,egy,szer,2,
hangzott,hang,zo,tt,,
rájönni,rá,jön,ni,2,
jelenteni,jelen,te,ni,2,
nagyszerűen,nagy,szerű,en,2,
másokat,má,so,kat,,
másokat,má,sok,at,,
másokat,más,ok,at,,
sikerülni,si,kerül,ni,,
sikerülni,sik,er,ülni,,
sikerülni,siker,ül,ni,,
holttestet,ho,lt,testet,,
holttestet,ho,ltt,estet,,
holttestet,hol,tt,estet,,
holttestet,holt,test,et,,
állapota,álla,po,ta,,
washington,wa,shing,ton,,
washington,wash,ing,ton,,
miller,mi,ll,er,,
apának,ap,án,ak,,
gondolkodom,gondol,ko,dom,,
köszönni,kösz,ön,ni,,
választott,válasz,to,tt,,
alakult,al,aku,lt,,
érdekelt,ér,de,kelt,,
érdekelt,ér,deke,lt,,
koromban,ko,rom,ban,,
koromban,kor,om,ban,2,
műsort,mű,so,rt,,
halljuk,hal,lj,uk,,
kérdezed,kér,de,zed,,
kérdezed,kérd,ez,ed,,
illata,il,la,ta,,
esetre,es,et,re,,
tisztelettel,tisztel,et,tel,,
adhatok,ad,ha,tok,,
adhatok,ad,hat,ok,,
történjen,tört,én,jen,,
okozni,ok,oz,ni,,
terrorista,terror,is,ta,,
találnak,tal,ál,nak,,
szerepet,sze,re,pet,,
steven,st,ev,en,,
pajtás,pa,jt,ás,,
virágot,vi,rá,got,,
virágot,vir,ág,ot,,
testem,te,st,em,,
hazafelé,haza,fe,lé,,
félreértés,félre,ért,és,2,
marshall,mar,sh,all,,
marshall,mar,sha,ll,,
marshall,mars,ha,ll,,
kocsija,ko,csi,ja,,
vallomást,val,lo,mást,2,
kocsival,ko,csi,val,,
követte,kö,vet,te,,
többieket,több,ie,ket,,
egyedülálló,egyed,ül,álló,,
egyedülálló,egyedül,ál,ló,,
véleménye,vélem,én,ye,,
apámnak,ap,ám,nak,2,
akartuk,ak,art,uk,,
akartuk,aka,rt,uk,,
hátrébb,há,tré,bb,,
hátrébb,hát,ré,bb,2,
kérdezhetek,kérd,ez,hetek,,
akármit,ak,ár,mit,,
terveztem,terv,ezt,em,2,
mondhatod,mond,ha,tod,2,
szemetet,sze,met,et,,
szemetet,szem,et,et,,
olyasmit,oly,as,mit,,
istenverte,is,ten,verte,,
istenverte,ist,en,verte,,
istenverte,isten,ver,te,2,
helytelen,hely,tel,en,2,
végtelen,vég,tel,en,,
álltok,ál,lt,ok,,
gondolnak,gon,dol,nak,,
listán,li,st,án,,
indiai,in,di,ai,,
londonban,lon,don,ban,,
maradhat,mar,ad,hat,,
mérföldre,mér,föl,dre,,
mérföldre,mér,föld,re,2,
találtad,tal,ál,tad,,
maradjak,mar,adj,ak,,
maradjak,mara,dj,ak,,
allison,al,li,son,,
allison,all,is,on,2,
négyszemközt,négy,szem,közt,2,
fejedben,feje,db,en,,
választotta,választ,ot,ta,,
haltak,ha,lt,ak,,
álljanak,áll,ja,nak,2,
